Time,asks,bids,price
2020-04-01 00:00:00 UTC,11720433.6666667,10073778.0,6303.58333333333
2020-04-01 01:00:00 UTC,14399742.3333333,11475782.3333333,6298.08333333333
2020-04-01 02:00:00 UTC,16209968.0,10433901.3333333,6314.08333333333
2020-04-01 03:00:00 UTC,16787449.0,9374495.0,6358.25
2020-04-01 04:00:00 UTC,16075601.3333333,11737539.3333333,6350.58333333333
2020-04-01 05:00:00 UTC,12261439.25,14302215.5,6318.75
2020-04-01 06:00:00 UTC,14518082.6666667,13454388.6666667,6303.91666666667
2020-04-01 07:00:00 UTC,15849531.25,11847043.0,6315.5
2020-04-01 08:00:00 UTC,14715254.6666667,13932518.6666667,6304.41666666667
2020-04-01 09:00:00 UTC,15290452.25,15082760.0,6298.125
2020-04-01 10:00:00 UTC,15505156.75,16157111.75,6301.25
2020-04-01 11:00:00 UTC,15776202.6666667,17477866.6666667,6288.75
2020-04-01 12:00:00 UTC,14642926.5,14566127.25,6253.5
2020-04-01 13:00:00 UTC,16239237.6666667,15903936.3333333,6225.08333333333
2020-04-01 14:00:00 UTC,16431924.75,11913995.75,6236.625
2020-04-01 15:00:00 UTC,16428085.0,15156713.3333333,6241.41666666667
2020-04-01 16:00:00 UTC,12286451.0,15709937.25,6193.25
2020-04-01 17:00:00 UTC,15080111.6666667,10063885.0,6198.75
2020-04-01 18:00:00 UTC,15380058.25,10668799.5,6206.75
2020-04-01 19:00:00 UTC,14445656.25,11582700.75,6195.75
2020-04-01 20:00:00 UTC,12710467.6666667,10619376.6666667,6279.91666666667
2020-04-01 21:00:00 UTC,11449221.0,12185426.75,6363.625
2020-04-01 22:00:00 UTC,10243081.5,11353305.5,6501.0
2020-04-01 23:00:00 UTC,11934611.3333333,10356651.0,6606.08333333333
2020-04-02 00:00:00 UTC,9868061.33333333,12223200.6666667,6664.25
2020-04-02 01:00:00 UTC,10087333.5,11946708.0,6649.625
2020-04-02 02:00:00 UTC,13107122.5,10705403.5,6624.625
2020-04-02 03:00:00 UTC,12410101.75,14581015.0,6614.625
2020-04-02 04:00:00 UTC,13979832.0,12335079.25,6627.5
2020-04-02 05:00:00 UTC,13618771.5,15084551.5,6606.5
2020-04-02 06:00:00 UTC,16113955.25,12426304.75,6631.125
2020-04-02 07:00:00 UTC,14111408.3333333,11845783.0,6660.58333333333
2020-04-02 08:00:00 UTC,11474592.25,13217164.75,6655.25
2020-04-02 09:00:00 UTC,12182070.0,14448722.0,6655.875
2020-04-02 10:00:00 UTC,9640667.66666667,13951074.6666667,6663.58333333333
2020-04-02 11:00:00 UTC,11109698.25,13211665.0,6675.875
2020-04-02 12:00:00 UTC,12620207.0,13442778.3333333,6698.75
2020-04-02 13:00:00 UTC,12735821.6666667,16420135.0,6652.91666666667
2020-04-02 14:00:00 UTC,16622640.25,12437710.25,6714.875
2020-04-02 15:00:00 UTC,13776805.3333333,12576426.0,6777.41666666667
2020-04-02 16:00:00 UTC,26067515.0,8752696.5,6895.0625
2020-04-02 17:00:00 UTC,8851406.66666667,11218796.3333333,7120.58333333333
2020-04-02 18:00:00 UTC,8898363.0,8925207.5,6914.625
2020-04-02 19:00:00 UTC,13666516.5,5751209.75,6814.75
2020-04-02 20:00:00 UTC,9237373.75,9224152.25,6735.75
2020-04-02 21:00:00 UTC,17110239.0,9133444.5,6778.5
2020-04-02 22:00:00 UTC,21443671.25,7887317.25,6823.75
2020-04-02 23:00:00 UTC,14103315.0,9373995.75,6794.75
2020-04-03 00:00:00 UTC,12925566.5,10966004.25,6779.125
2020-04-03 01:00:00 UTC,13349609.0,14313327.25,6767.125
2020-04-03 02:00:00 UTC,17787495.0,10359478.5,6804.75
2020-04-03 03:00:00 UTC,16327525.5,10234613.25,6802.125
2020-04-03 04:00:00 UTC,12188202.25,11783859.5,6778.875
2020-04-03 05:00:00 UTC,11563577.3333333,11687761.3333333,6768.41666666667
2020-04-03 06:00:00 UTC,17119760.25,9849939.75,6798.125
2020-04-03 07:00:00 UTC,15070785.25,12178259.5,6878.875
2020-04-03 08:00:00 UTC,11184717.0,10868596.6666667,6911.58333333333
2020-04-03 09:00:00 UTC,12402278.0,10831690.5,6930.125
2020-04-03 10:00:00 UTC,11844308.0,11403244.0,6966.75
2020-04-03 11:00:00 UTC,11018135.6666667,13260804.6666667,6978.91666666667
2020-04-03 12:00:00 UTC,15933202.5,11755952.0,6965.875
