,Side,Size,Price
0,Sell,1,1000000
1,Sell,9,999999
2,Sell,3,999998
3,Sell,155472,993000
4,Sell,386,922192.5
5,Sell,7542,886372.5
6,Sell,1315,877894
7,Sell,424,874154
8,Sell,2372,873921
9,Sell,5788,870568
10,Sell,284,863119
11,Sell,350,842668.5
12,Sell,984,727199.5
13,Sell,100,620000
14,Sell,2,600884.5
15,Sell,8690,500000
16,Sell,200,351450
17,Sell,1,344890
18,Sell,100,300000
19,Sell,249000,249000
20,Sell,1000,200000
21,Sell,100,150000
22,Sell,1,144610
23,Sell,6800,141250
24,Sell,4000,126000
25,Sell,1,115442
26,Sell,500,112000
27,Sell,1000,110049
28,Sell,20,108450
29,Sell,53534,101999
30,Sell,133,101111
31,Sell,500,100300
32,Sell,4588,100000
33,Sell,100,99579
34,Sell,13,98531.5
35,Sell,50,95560
36,Sell,30,95400
37,Sell,8500,95000
38,Sell,40,93000
39,Sell,100,92400
40,Sell,2000,91100
41,Sell,4000,89580
42,Sell,80,88550
43,Sell,10,88385
44,Sell,1000,88222
45,Sell,3000,87885.5
46,Sell,50,87650
47,Sell,1000,87400
48,Sell,2000,87011
49,Sell,20,86880
50,Sell,1001,85745
51,Sell,50,85658
52,Sell,5,83989
53,Sell,150,82345
54,Sell,279,80120
55,Sell,1000,78700
56,Sell,50,75700
57,Sell,10000,75030
58,Sell,4,75000
59,Sell,10,71175
60,Sell,10,71045
61,Sell,2721,70000
62,Sell,1,69420
63,Sell,600,68320
64,Sell,40,67750
65,Sell,500,67132
66,Sell,250,67100
67,Sell,20,66536
68,Sell,6500,66494
69,Sell,1000,63225
70,Sell,232,62085
71,Sell,20,61317
72,Sell,4000,55126.5
73,Sell,1,54000
74,Sell,1575,53247
75,Sell,1000,52602
76,Sell,1000,50110
77,Sell,1001,50000
78,Sell,2,49998
79,Sell,1000000,47897
80,Sell,600,46250
81,Sell,200,45000
82,Sell,88200,44100
83,Sell,194,44050
84,Sell,3726,40000
85,Sell,1000,39000
86,Sell,26000,38680
87,Sell,1000,38000
88,Sell,15,37638.5
89,Sell,100000,37210
90,Sell,1000,37000
91,Sell,1,36012
92,Sell,1000,36000
93,Sell,10000,35978.5
94,Sell,1000,35000
95,Sell,100,34900
96,Sell,1000,34000
97,Sell,1000,33000
98,Sell,2058,32292
99,Sell,131,32283
100,Sell,2058,32009
101,Sell,1131,32000
102,Sell,2058,31725.5
103,Sell,131,31716.5
104,Sell,2058,31442.5
105,Sell,131,31433.5
106,Sell,2058,31159
107,Sell,131,31150.5
108,Sell,1000,31000
109,Sell,2058,30876
110,Sell,131,30867.5
111,Sell,2058,30593
112,Sell,131,30584
113,Sell,2058,30309.5
114,Sell,131,30301
115,Sell,2058,30026.5
116,Sell,131,30018
117,Sell,2563,30000
118,Sell,100,29931.5
119,Sell,100,29850
120,Sell,2058,29743
121,Sell,131,29734.5
122,Sell,2058,29460
123,Sell,131,29451.5
124,Sell,10000,29347.5
125,Sell,2058,29176.5
126,Sell,131,29168.5
127,Sell,1000,29000
128,Sell,500,28910
129,Sell,800,28900
130,Sell,2058,28893.5
131,Sell,131,28885.5
132,Sell,2058,28610
133,Sell,131,28602
134,Sell,2058,28327
135,Sell,131,28319
136,Sell,2058,28044
137,Sell,131,28036
138,Sell,1000,28000
139,Sell,2058,27760.5
140,Sell,131,27752.5
141,Sell,2058,27477.5
142,Sell,131,27469.5
143,Sell,2058,27194
144,Sell,131,27186.5
145,Sell,1000,27000
146,Sell,2058,26911
147,Sell,131,26903.5
148,Sell,2058,26627.5
149,Sell,131,26620
150,Sell,2058,26344.5
151,Sell,131,26337
152,Sell,2,26139
153,Sell,30,26103
154,Sell,2058,26061
155,Sell,131,26054
156,Sell,10,26019
157,Sell,161,26015
158,Sell,500,26000
159,Sell,2058,25778
160,Sell,131,25770.5
161,Sell,1536,25555.5
162,Sell,500,25500
163,Sell,2058,25495
164,Sell,131,25487.5
165,Sell,10000,25347.5
166,Sell,1536,25346.5
167,Sell,2058,25211.5
168,Sell,131,25204.5
169,Sell,1536,25138
170,Sell,25830,25000
171,Sell,1536,24929
172,Sell,2058,24928.5
