,Side,Size,Price
263,Sell,131,20674
264,Sell,300,20600
265,Sell,1536,20543
266,Sell,149,20485
267,Sell,300,20400
268,Sell,3057,20397
269,Sell,131,20391
270,Sell,15,20339.5
271,Sell,1536,20334
272,Sell,147,20242.5
273,Sell,300,20200
274,Sell,100,20176
275,Sell,1536,20125
276,Sell,2058,20113.5
277,Sell,777,20111
278,Sell,131,20108
279,Sell,223,20071
280,Sell,146,20002.5
281,Sell,376,20000
282,Sell,500,19999
283,Sell,50,19931.5
284,Sell,1536,19916.5
285,Sell,1000,19888
286,Sell,500,19871
287,Sell,2058,19830.5
288,Sell,131,19825
289,Sell,300,19800
290,Sell,12000,19768
291,Sell,145,19765
292,Sell,1536,19707.5
293,Sell,1250,19667
294,Sell,300,19600
295,Sell,2058,19547
296,Sell,131,19541.5
297,Sell,144,19530.5
298,Sell,55,19500
299,Sell,1536,19498.5
300,Sell,300,19400
301,Sell,1,19364.5
302,Sell,10000,19347.5
303,Sell,143,19299
304,Sell,1536,19289.5
305,Sell,2058,19264
306,Sell,131,19258.5
307,Sell,300,19200
308,Sell,50,19110
309,Sell,825,19106.5
310,Sell,1536,19081
311,Sell,142,19070.5
312,Sell,300,19000
313,Sell,2058,18980.5
314,Sell,131,18975.5
315,Sell,872,18969
316,Sell,30000,18950
317,Sell,150,18888
318,Sell,200,18874.5
319,Sell,1536,18872
320,Sell,25,18866
321,Sell,141,18844
322,Sell,825,18831.5
323,Sell,300,18800
324,Sell,8000,18768
325,Sell,2058,18697.5
326,Sell,872,18694
327,Sell,131,18692
328,Sell,1536,18663
329,Sell,720,18649
330,Sell,140,18620.5
331,Sell,300,18600
332,Sell,825,18556.5
333,Sell,739,18548.5
334,Sell,1536,18454.5
335,Sell,872,18419.5
336,Sell,2058,18414.5
337,Sell,131,18409
338,Sell,939,18400
339,Sell,1000,18388
340,Sell,600,18300
341,Sell,825,18282
342,Sell,1536,18245.5
343,Sell,300,18200
344,Sell,134,18183
345,Sell,137,18182
346,Sell,872,18144.5
347,Sell,2058,18131
348,Sell,131,18126
349,Sell,1536,18036.5
350,Sell,825,18007
351,Sell,1540,18000
352,Sell,33,17989
353,Sell,300,17980
354,Sell,136,17966
355,Sell,40000,17941
356,Sell,500,17900
357,Sell,872,17869.5
358,Sell,2058,17848
359,Sell,131,17843
360,Sell,1536,17827.5
361,Sell,10300,17800
362,Sell,8000,17768
363,Sell,135,17753
364,Sell,825,17732
365,Sell,1,17722
366,Sell,100,17696
367,Sell,100,17663
368,Sell,300,17650
369,Sell,1536,17619
370,Sell,300,17600
371,Sell,872,17595
372,Sell,1400,17568.5
373,Sell,2058,17564.5
374,Sell,131,17559.5
375,Sell,134,17542.5
376,Sell,200,17530
377,Sell,825,17457.5
378,Sell,2000,17453.5
379,Sell,1000,17438.5
380,Sell,2000,17433
381,Sell,1000,17431
382,Sell,1536,17410
383,Sell,5400,17400
384,Sell,2000,17365
385,Sell,10000,17347.5
386,Sell,133,17334.5
387,Sell,872,17320
388,Sell,2058,17281.5
389,Sell,131,17276.5
390,Sell,932,17221
391,Sell,1536,17201
392,Sell,300,17200
393,Sell,825,17182.5
394,Sell,132,17129
395,Sell,50,17094.5
396,Sell,50,17050
397,Sell,872,17045
398,Sell,25081,17000
399,Sell,2058,16998
400,Sell,131,16993.5
401,Sell,1536,16992.5
402,Sell,1000,16988
403,Sell,40,16950
404,Sell,131,16926
405,Sell,825,16907.5
406,Sell,230,16900
407,Sell,100,16888
408,Sell,20,16850
409,Sell,1536,16783.5
410,Sell,8000,16774
411,Sell,872,16770
412,Sell,130,16725
413,Sell,2058,16715
414,Sell,131,16710.5
415,Sell,825,16633
416,Sell,1536,16574.5
417,Sell,130,16527
418,Sell,300,16500
419,Sell,872,16495.5
420,Sell,128,16477
421,Sell,2058,16432
422,Sell,131,16427
423,Sell,600,16399.5
424,Sell,1536,16365.5
425,Sell,825,16358
426,Sell,148,16340
427,Sell,129,16331
428,Sell,3000,16323
429,Sell,17000,16257
430,Sell,872,16220.5
431,Sell,50,16186
432,Sell,1536,16157
433,Sell,2058,16148.5
434,Sell,131,16144
435,Sell,128,16137.5
436,Sell,825,16083
437,Sell,554,16000
438,Sell,33,15979
439,Sell,1536,15948
440,Sell,127,15946
441,Sell,872,15945.5
442,Sell,26000,15900
443,Sell,320,15897
444,Sell,2058,15865.5
445,Sell,131,15861
446,Sell,825,15808.5
447,Sell,33,15799
448,Sell,8000,15783
449,Sell,126,15757
450,Sell,1536,15739
451,Sell,1000,15688
452,Sell,872,15671
453,Sell,2058,15582
454,Sell,131,15577.5
455,Sell,125,15570
456,Sell,7,15555
457,Sell,140,15550
458,Sell,5000,15548
459,Sell,825,15533.5
460,Sell,1536,15530.5
461,Sell,1044600,15500
462,Sell,1,15478.5
463,Sell,50,15468
464,Sell,1104,15400
465,Sell,872,15396
466,Sell,26,15393.5
467,Sell,124,15385.5
468,Sell,10000,15347.5
469,Sell,1536,15321.5
470,Sell,60,15317.5
471,Sell,1928,15315.5
472,Sell,2058,15299
473,Sell,90,15295.5
474,Sell,131,15294.5
475,Sell,162,15291
476,Sell,8678,15280
477,Sell,140,15260
478,Sell,825,15258.5
479,Sell,5000,15228
480,Sell,123,15203
481,Sell,113,15179
482,Sell,145,15137
483,Sell,872,15121
484,Sell,1536,15112.5
485,Sell,122,15022.5
486,Sell,1000,15021
487,Sell,2058,15015.5
488,Sell,131,15011.5
489,Sell,1000,15001.5
490,Sell,136462,15000
491,Sell,30000,14998.5
492,Sell,100000,14989
493,Sell,1385,14984
494,Sell,2000,14950
495,Sell,100,14910.5
496,Sell,1536,14903.5
497,Sell,93,14897
498,Sell,43,14894
499,Sell,35,14866
500,Sell,1000,14850.5
501,Sell,48,14850
502,Sell,872,14846.5
503,Sell,121,14844.5
504,Sell,500000,14844
505,Sell,40,14812
506,Sell,17000,14800
507,Sell,720,14796
508,Sell,8092,14793
509,Sell,250,14748
510,Sell,2058,14732.5
511,Sell,131,14728.5
512,Sell,825,14709
513,Sell,5000,14704
514,Sell,50,14700
515,Sell,1536,14695
516,Sell,92,14690
517,Sell,5000,14689
518,Sell,121,14668.5
519,Sell,39,14625
520,Sell,70,14623
521,Sell,1000050,14600
522,Sell,92,14586
523,Sell,872,14571.5
524,Sell,10000,14559
525,Sell,1220,14500
526,Sell,120,14494.5
527,Sell,1000,14488
528,Sell,1536,14486
529,Sell,90,14483
530,Sell,150,14474.5
531,Sell,100,14471.5
532,Sell,1000,14450.5
533,Sell,500,14450
534,Sell,2058,14449
535,Sell,131,14445
536,Sell,39,14438
537,Sell,825,14434
538,Sell,50,14400
539,Sell,720,14389
540,Sell,90,14379
541,Sell,5000,14343
542,Sell,119,14322.5
543,Sell,750,14300
544,Sell,872,14296.5
545,Sell,4002,14279.5
546,Sell,1536,14277
547,Sell,90,14276
548,Sell,38,14250
549,Sell,250,14248
550,Sell,5000,14243
551,Sell,1016,14223
552,Sell,15800,14212
553,Sell,50,14200
554,Sell,2000,14191
555,Sell,88,14172
556,Sell,2058,14166
557,Sell,131,14162
558,Sell,825,14159.5
559,Sell,118,14153
560,Sell,550,14127
561,Sell,70,14123
562,Sell,600,14121
563,Sell,50,14100
564,Sell,10,14076.5
565,Sell,88,14069
566,Sell,1536,14068
567,Sell,38,14062
568,Sell,872,14022
569,Sell,29507,14000
570,Sell,600,13999.5
571,Sell,100000,13989
572,Sell,100,13988
573,Sell,117,13985
574,Sell,1000,13980
575,Sell,560,13979
576,Sell,88,13966
577,Sell,600,13958
578,Sell,100,13947
579,Sell,50102,13900
580,Sell,825,13884.5
581,Sell,2058,13883
582,Sell,131,13879
583,Sell,37,13875
