,Side,Size,Price
0,Sell,1,1000000
1,Sell,9,999999
2,Sell,3,999998
3,Sell,155472,993000
4,Sell,386,922192.5
5,Sell,90,911525
6,Sell,9090,909629
7,Sell,2398,909381
8,Sell,1842,895557
9,Sell,1332,888249.5
10,Sell,500,883625.5
11,Sell,5788,870568
12,Sell,284,863119
13,Sell,984,727199.5
14,Sell,100,620000
15,Sell,2,600884.5
16,Sell,1000,500000
17,Sell,200,351450
18,Sell,1,344890
19,Sell,100,300000
20,Sell,249000,249000
21,Sell,100,150000
22,Sell,1,144610
23,Sell,6800,141250
24,Sell,111036,126049
25,Sell,4000,126000
26,Sell,6300,117550
27,Sell,1,115442
28,Sell,500,112000
29,Sell,1000,110049
30,Sell,20,108450
31,Sell,53534,101999
32,Sell,133,101111
33,Sell,500,100300
34,Sell,4588,100000
35,Sell,100,99579
36,Sell,1000,98695.5
37,Sell,50,95560
38,Sell,30,95400
39,Sell,8500,95000
40,Sell,40,93000
41,Sell,100,92400
42,Sell,2000,91100
43,Sell,4000,89580
44,Sell,1000,89286
45,Sell,10,88385
46,Sell,3000,87885.5
47,Sell,50,87650
48,Sell,1000,87400
49,Sell,2000,87011
50,Sell,20,86880
51,Sell,1001,85745
52,Sell,50,85658
53,Sell,5,83989
54,Sell,150,82345
55,Sell,279,80120
56,Sell,1000,78700
57,Sell,50,75700
58,Sell,10000,75030
59,Sell,4,75000
60,Sell,10,71175
61,Sell,10,71045
62,Sell,2721,70000
63,Sell,1,69420
64,Sell,600,68320
65,Sell,500,67850
66,Sell,40,67750
67,Sell,500,67132
68,Sell,250,67100
69,Sell,20,66536
70,Sell,6500,66494
71,Sell,1000,63225
72,Sell,232,62085
73,Sell,20,61317
74,Sell,96,59172
75,Sell,4000,55126.5
76,Sell,1,54000
77,Sell,1000,52602
78,Sell,1844,52383
79,Sell,1000,50110
80,Sell,1,50000
81,Sell,2,49998
82,Sell,1000000,47897
83,Sell,600,46250
84,Sell,200,45000
85,Sell,88200,44100
86,Sell,194,44050
87,Sell,3726,40000
88,Sell,1000,39000
89,Sell,1000,38000
90,Sell,15,37638.5
91,Sell,100000,37220
92,Sell,1000,37000
93,Sell,1,36012
94,Sell,1000,36000
95,Sell,10000,35978.5
96,Sell,1000,35000
97,Sell,100,34900
98,Sell,1000,34000
99,Sell,1000,33000
100,Sell,2058,32292
101,Sell,131,32283
102,Sell,2058,32009
103,Sell,1131,32000
104,Sell,2058,31725.5
105,Sell,131,31716.5
106,Sell,2058,31442.5
107,Sell,131,31433.5
108,Sell,2058,31159
109,Sell,131,31150.5
110,Sell,1000,31000
111,Sell,2058,30876
112,Sell,131,30867.5
113,Sell,2058,30593
114,Sell,131,30584
115,Sell,2058,30309.5
116,Sell,131,30301
117,Sell,2058,30026.5
118,Sell,131,30018
119,Sell,12967,30000
120,Sell,100,29931.5
121,Sell,100,29850
122,Sell,2058,29743
123,Sell,131,29734.5
124,Sell,2058,29460
125,Sell,131,29451.5
126,Sell,10000,29347.5
127,Sell,2058,29176.5
128,Sell,131,29168.5
129,Sell,1000,29000
130,Sell,500,28910
131,Sell,800,28900
132,Sell,2058,28893.5
133,Sell,131,28885.5
134,Sell,2000,28695.5
135,Sell,2058,28610
136,Sell,131,28602
137,Sell,2058,28327
138,Sell,131,28319
139,Sell,2058,28044
140,Sell,131,28036
141,Sell,1000,28000
142,Sell,2058,27760.5
143,Sell,131,27752.5
144,Sell,2058,27477.5
145,Sell,131,27469.5
146,Sell,2058,27194
147,Sell,131,27186.5
148,Sell,1000,27000
149,Sell,2058,26911
150,Sell,131,26903.5
151,Sell,26000,26700
152,Sell,2058,26627.5
153,Sell,131,26620
154,Sell,2058,26344.5
155,Sell,131,26337
156,Sell,2,26139
157,Sell,30,26103
158,Sell,2058,26061
159,Sell,131,26054
160,Sell,10,26019
161,Sell,161,26015
162,Sell,500,26000
163,Sell,2058,25778
164,Sell,131,25770.5
165,Sell,1536,25555.5
166,Sell,500,25500
167,Sell,2058,25495
168,Sell,131,25487.5
169,Sell,10000,25347.5
170,Sell,1536,25346.5
171,Sell,2058,25211.5
172,Sell,131,25204.5
